2026-03-29 13:02:53, MOVE, v:1, k:ed@manipulacao, mode:DOWN
2026-03-29 13:02:55, MOVE, v:1, k:ed@manipulacao, mode:PICK
2026-03-29 13:04:12, MOVE, v:1, k:ed@manipulacao, mode:BACK
2026-03-29 13:04:15, MOVE, v:1, k:ed@manipulacao, mode:PICK
2026-03-29 13:04:17, EXEC, v:1, k:ed@manipulacao, mode:FULL, rate:0, size:106
2026-03-29 13:05:32, MOVE, v:1, k:ed@manipulacao, mode:BACK
2026-03-29 19:56:24, MOVE, v:1, k:ed@manipulacao, mode:PICK
2026-03-29 20:04:29, MOVE, v:1, k:ed@manipulacao, mode:BACK
2026-03-29 20:04:41, MOVE, v:1, k:ed@buscas, mode:DOWN
2026-03-29 20:04:42, MOVE, v:1, k:ed@buscas, mode:PICK
